,Degree,Mean Absolute Error
0,1,2.3369749512820115
1,1,1.9960213965694171
2,1,3.1637913108915203
3,1,1.7262809011314404
4,1,1.5036672415410957
5,2,2.4311419018034766
6,2,2.0115697065902185
7,2,3.420865246914421
8,2,1.8369027653603867
9,2,1.5583763020603734
10,3,6.12459906394485
11,3,3.744101480099472
12,3,5.1643525358690585
13,3,4.203450518565522
14,3,3.1782832006430235
15,4,14.694871358507278
16,4,14.533899581413571
17,4,11.27799353118475
18,4,14.696649989388545
19,4,6.881424170710766
