,FFT_mean_imag,FFT_mean_real,FFT_std_max,FFT_std_real,MFCC_mean02,MFCC_mean16,Roll_mean_absDiff,Roll_mean_p05,Roll_std_absDiff,Roll_std_p05,Roll_std_p30,Roll_std_p60,index,mean,skew,std
Decision Tree,0.010610021726389444,0.0034175257391853117,0.004728210788604822,0.003939820550096326,0.018799679454266485,0.00458689642466478,0.0049373198977256255,0.013807628570972728,0.008224134909697221,0.08092265917548623,1.0,0.005299005937028395,,0.03398262731402695,0.014763163228374392,0.0034232600475222067
Random Forest,0.017144613847860507,0.010539548050096919,0.03627314992740796,0.015043520954930587,0.07184464326444479,0.018011617400413262,0.020042875005336278,0.04228279240457391,0.018713196972764353,0.5179696269293013,1.0,0.33271024287569406,,0.03335300257158991,0.026512509755416348,0.015291815071055247
LGBM,0.8263127524523948,0.6987882285054818,0.2129255626081939,0.5591459896133871,0.7934218118869013,0.874206578188113,0.7691863819965377,0.6705135603000577,0.8892094633583382,0.7455279861511828,1.0,0.5170225043277553,,0.9659549913444894,0.8753606462781304,0.6341604154645123
DecisionTree (with index),0.0,0.0008709229523099721,0.005411395623825692,0.0,0.011396254572116566,0.0015216900015248818,0.0,0.010405619966580756,0.0,0.06547652410724446,1.0,0.0,0.4110100409248245,0.0336916318898972,0.0,0.0
Random Forest (with index),0.0013283437816941396,0.0019482271255371363,0.037526413275785576,0.00482198733077461,0.0449486078119529,0.006261011162515254,0.002461271880285603,0.029884401927833797,0.0024869175420127606,0.5200886300429297,1.0,0.3319751583541473,0.6927523033103278,0.03269416199521088,0.00182075485981657,0.005407151112998366
LGBM (with index),0.11030734902468868,0.10422514935579066,0.030015115525804353,0.10624055279637226,0.1466206003023105,0.15043547110055422,0.12171597207226661,0.1006262146404664,0.12272367379255739,0.11534585762614265,0.13128913841502912,0.1013819909306845,1.0,0.12614266177211542,0.12689843806233353,0.10116605484776504
