,FFT_mean_imag,FFT_mean_real,FFT_std_max,FFT_std_real,MFCC_mean02,MFCC_mean16,Roll_mean_absDiff,Roll_mean_p05,Roll_std_absDiff,Roll_std_p05,Roll_std_p30,Roll_std_p60,index,mean,skew,std
SVM Linear Full Features (no index),0.01482308254478872,0.012675350339804194,0.07169175256100949,0.30004062408109083,0.40028851110265845,0.038934975127969014,0.022543259813350196,0.19992978489503033,0.0297660564918181,1.0,0.20255764357468212,0.13576457744739656,,0.16973539283133612,0.026947810177804683,0.38879895347498117
SVM Linear Full Features (wiyh index),0.017391027882852322,0.010262803198650113,0.09570581452569307,0.18952570215639977,0.42245679650483614,0.17533174000487625,0.02404000602202932,0.26981177798782574,0.03309944356177598,1.0,0.10160826527608698,0.12806574320540617,0.269591900374265,0.18379983710172046,0.03550413197854468,0.288261026770429
